gCa_true,seed,gCa,ECa,sse_full,sse_v,chi2
2.0,1111,0.05,75.0,17378.39923269679,17375.308719273682,212302.08855829004
2.0,1111,0.05,78.0,17368.702722000173,17365.614093332788,212170.28196581965
2.0,1111,0.05,81.0,17359.005488134615,17355.9187440558,212038.48903340093
2.0,1111,0.05,84.0,17349.30753270517,17346.22267304746,211906.7097787078
2.0,1111,0.05,87.0,17339.608849315515,17336.5258739131,211774.944147614
2.0,1111,0.05,90.0,17329.909457098067,17326.828365780933,211643.19230720052
2.0,1111,0.05,93.0,17320.209348156266,17317.130140755973,211511.45419912873
2.0,1111,0.05,96.0,17310.508524155637,17307.43120050344,211379.72984179953
2.0,1111,0.05,99.0,17300.806986692165,17297.73154661899,211248.01925324643
2.0,1111,0.05,102.0,17291.10473738176,17288.031180718204,211116.32245140744
2.0,1111,0.05,105.0,17281.4017779267,17278.330104503053,210984.63945463524
2.0,1111,0.05,108.0,17271.698110020327,17268.62831966654,210852.97028133817
2.0,1111,0.05,111.0,17261.993735355754,17258.925827901476,210721.31494998132
2.0,1111,0.05,114.0,17252.288655712895,17249.222630987428,210589.67347931289
2.0,1111,0.05,117.0,17242.58287280058,17239.518730632928,210458.04588785465
2.0,1111,0.05,120.0,17232.876388398763,17229.81412861759,210326.43219435858
2.0,1111,0.05,123.0,17223.16920428989,17220.10882672353,210194.83241761103
2.0,1111,0.05,126.0,17213.461401056822,17210.40290552812,210063.24709598324
2.0,1111,0.05,129.0,17203.752816346525,17200.696202688483,209931.67518277344
2.0,1111,0.05,132.0,17194.043537974037,17190.988806013975,209800.1172464147
2.0,1111,0.05,135.0,17184.3335678196,17181.280717384492,209668.5733061357
2.0,1111,0.05,138.0,17174.62290788285,17171.571938799367,209537.0433816735
2.0,1111,0.05,141.0,17164.91156014226,17161.862472236706,209405.52749252904
2.0,1111,0.05,144.0,17155.199526663833,17152.152319762237,209274.02565867422
2.0,1111,0.05,147.0,17145.48680951433,17142.44148344234,209142.53790018207
2.0,1111,0.05,150.0,17135.773410823203,17132.729965406168,209011.06423729996
2.0,1111,0.05,153.0,17126.059332817276,17123.017767880196,208879.60469039233
2.0,1111,0.05,156.0,17116.344583666476,17113.304899035305,208748.15927455507
2.0,1111,0.05,159.0,17106.629155595805,17103.591351093768,208616.72802555887
2.0,1111,0.05,162.0,17096.913054696437,17093.87713014756,208485.31095365155
2.0,1111,0.05,165.0,17087.19628320893,17084.162238436893,208353.90807941867
2.0,1111,0.05,168.0,17077.478843285597,17074.446678113763,208222.51942338696
2.0,1111,0.05,171.0,17067.76073699787,17064.730451249237,208091.14500595865
2.0,1111,0.05,174.0,17058.041947427522,17055.01354092732,207959.78470718896
2.0,1111,0.05,177.0,17048.32251893322,17045.295991501003,207828.43885030947
2.0,1111,0.05,180.0,17038.60243035064,17035.577781808406,207697.1072925778
2.0,1111,0.05,183.0,17028.881683970492,17025.858914139928,207565.79005495703
2.0,1111,0.05,186.0,17019.160282085555,17016.139390787986,207434.48715839608
2.0,1111,0.05,189.0,17009.438216289178,17006.41920334325,207303.19863609684
2.0,1111,0.05,192.0,16999.715509316055,16996.698374544918,207171.92447804808
2.0,1111,0.05,195.0,16989.992153969037,16986.976897193035,207040.66472479783
2.0,1111,0.05,198.0,16980.268152526125,16977.25477356523,206909.4193974358
2.0,1111,0.05,201.0,16970.543507390907,16967.532006064794,206778.1885175401
2.0,1111,0.05,204.0,16960.8182208586,16957.808596986557,206646.97210652003
2.0,1111,0.05,207.0,16951.092295449373,16948.08454885038,206515.77018613854
2.0,1111,0.05,210.0,16941.365733505747,16938.35986399841,206384.58277807993
